sku,title,product_type,availability,readiness_score,price_band,shipping_weight_lb,weight_band,has_gtin,gtin,url
"B852SSRTT","#00 Kraft Bubble Mailers 10x5"" | Self-Seal | Case 180","Envelopes & Mailers","IN_STOCK","100","25-to-75","5.820000171661377","1-to-10-lb","true","841436049450","https://packrift.com/products/00-kraft-self-seal-bubble-mailers-10x5-lightweight-protection-case-of-180?variant=53474251997552"
"LL231CL","1 5/8"" Clear Circle Laser Labels | Laser Printable","Labels","IN_STOCK","100","75-to-200","3","1-to-10-lb","true","841436002363","https://packrift.com/products/1-5-8-clear-circle-laser-labels-permanent-acrylic-2400-case?variant=53442699034992"
"LL216GD","1 5/8"" Gold Foil Circle Laser Labels | Laser Printable","Labels","IN_STOCK","100","25-to-75","3.200000047683716","1-to-10-lb","true","841436002264","https://packrift.com/products/1-5-8-gold-foil-circle-laser-labels-permanent-acrylic-case-of-2400?variant=53473261289840"
"HAZ1074","1 Gallon Plastic Jug - Hazmat Shipping Container","Boxes - Corrugated","IN_STOCK","100","75-to-200","17.68000030517578","10-to-50-lb","true","841436074667","https://packrift.com/products/1-gallon-white-plastic-jug-with-cap-hazmat-compliant-case-of-48?variant=53473296351600"
"DL611F","1 Inch Black Circle Inventory Labels | 500/Roll","Labels","IN_STOCK","100","under-25","0.1599999964237213","sub-1-lb","true","841436011488","https://packrift.com/products/1-black-paper-circle-inventory-labels-500-roll?variant=53440244547952"
"DL1389CL","1 Inch Clear Removable Labels - 500/Roll | Packrift","Labels","IN_STOCK","100","under-25","0.1599999964237213","sub-1-lb","true","841436004466","https://packrift.com/products/1-clear-removable-adhesive-labels-500-roll-easy-write-paper-circles?variant=53475188408688"
"DL6724","1 Inch FEB Month Labels Pink - 500/Roll","Labels","IN_STOCK","100","under-25","0.14000000059604645","sub-1-lb","true","848109004532","https://packrift.com/products/1-fluorescent-pink-circle-feb-month-labels-500-roll-paper?variant=53474322579824"
"DL611A","1 Inch Red Inventory Circle Labels | 500/Roll","Labels","IN_STOCK","100","under-25","0.14000000059604645","sub-1-lb","true","841436011433","https://packrift.com/products/1-red-paper-inventory-circle-labels-500-roll-high-visibility-item-tracking?variant=53440201654640"
"PB2379","1 Mil Clear Flat Poly Bags 13x16"" | 1000/Case","Bags - Poly","IN_STOCK","100","25-to-75","14.199999809265137","10-to-50-lb","true","841436038133","https://packrift.com/products/13x16-1-mil-clear-flat-poly-bags-1000-case-bulk?variant=53473146306928"
"PB2401","1 Mil Clear Flat Poly Bags 16x40"" | 500/Case","Bags - Poly","IN_STOCK","100","25-to-75","23.68000030517578","10-to-50-lb","true","841436094184","https://packrift.com/products/16x40-1-mil-clear-flat-poly-bags-500-case-fda-approved?variant=53473146929520"
"PB2466","1 Mil Clear Flat Poly Bags 18x26"" | FDA Approved","Bags - Poly","IN_STOCK","100","75-to-200","31.540000915527344","10-to-50-lb","true","848109049014","https://packrift.com/products/18x26-1-mil-clear-flat-poly-bags-food-grade-case-of-1000?variant=53473147355504"
"PB2209","1 Mil Clear Flat Poly Bags 3x16"" | 1000 Case","Bags - Poly","IN_STOCK","100","under-25","3.259999990463257","1-to-10-lb","true","841436093446","https://packrift.com/products/3x16-1-mil-clear-flat-poly-bags-1000-case-food-grade?variant=53473140375920"
"PB2222","1 Mil Clear Flat Poly Bags 4x12"" | 1000/Case","Bags - Poly","IN_STOCK","100","under-25","3.380000114440918","1-to-10-lb","true","841436037778","https://packrift.com/products/4x12-1-mil-clear-flat-poly-bags-cost-effective-protection-case-of-1000?variant=53473141162352"
"PFC281764","1 Mil Clear Furniture Covers 28x17x64"" | 250/Roll","Bags - Poly","IN_STOCK","100","75-to-200","43.34000015258789","10-to-50-lb","true","841436052931","https://packrift.com/products/28x17x64-1-mil-clear-furniture-covers-roll-of-250?variant=53473264402800"
"PC505","1 Mil Clear Pallet Covers 48x48x96"" | Case of 100","Bags - Poly","IN_STOCK","100","75-to-200","57.91999816894531","50-plus-lb","true","841436098489","https://packrift.com/products/48x48x96-1-mil-clear-pallet-covers-case-of-100?variant=53474364916080"
"PB2340","1 Mil Flat Poly Bags 10x16"" | 1000/Case","Bags - Poly","IN_STOCK","100","25-to-75","11.180000305175781","10-to-50-lb","true","841436038041","https://packrift.com/products/10x16-1-mil-clear-flat-poly-bags-1000-case-fda-approved?variant=53473145520496"
"PB2342","1 Mil Flat Poly Bags 10x20"" | FDA Compliant | Case","Bags - Poly","IN_STOCK","100","25-to-75","13.819999694824219","10-to-50-lb","true","841436093583","https://packrift.com/products/10-x-20-1-mil-clear-flat-poly-bags-1000-case?variant=53473145586032"
"PB2347","1 Mil Flat Poly Bags 10x24"" | Clear | 1000/Case","Bags - Poly","IN_STOCK","100","25-to-75","16.34000015258789","10-to-50-lb","true","841436038058","https://packrift.com/products/10x24-1-mil-clear-flat-poly-bags-fda-approved-case-of-1000?variant=53473145651568"
"PB2373","1 Mil Flat Poly Bags 12x36"" | 1000/Case","Bags - Poly","IN_STOCK","100","75-to-200","29.219999313354492","10-to-50-lb","true","841436093842","https://packrift.com/products/12-x-36-1-mil-clear-flat-poly-bags-1000-case?variant=53473146175856"
"PB2464","1 Mil Flat Poly Bags 12x48"" | FDA Approved","Bags - Poly","IN_STOCK","100","75-to-200","39.31999969482422","10-to-50-lb","true","848109048994","https://packrift.com/products/12-x-48-1-mil-clear-flat-poly-bags-1000-case?variant=53473146208624"
"PB2405","1 Mil Flat Poly Bags 16x20"" | 1000/Case","Bags - Poly","IN_STOCK","100","25-to-75","21.780000686645508","10-to-50-lb","true","841436038218","https://packrift.com/products/16-x-20-1-mil-clear-flat-poly-bags-1000-case?variant=53473146831216"
"PB2465","1 Mil Flat Poly Bags 16x48"" | Case of 500","Bags - Poly","IN_STOCK","100","75-to-200","24.18000030517578","10-to-50-lb","true","848109049007","https://packrift.com/products/16-x-48-1-mil-clear-flat-poly-bags-500-count-case?variant=53473146995056"
"PB2411","1 Mil Flat Poly Bags 18x20 - FDA Approved","Bags - Poly","IN_STOCK","100","75-to-200","24.920000076293945","10-to-50-lb","true","841436038249","https://packrift.com/products/18x20-1-mil-clear-flat-poly-bags-1000-count-case?variant=53473147060592"
"PB2415","1 Mil Flat Poly Bags 18x24"" | 1000/Case","Bags - Poly","IN_STOCK","100","75-to-200","35.86000061035156","10-to-50-lb","true","841436038256","https://packrift.com/products/18-x-24-1-mil-clear-flat-poly-bags-1000-case-fda-approved?variant=53473147322736"
"PB2437","1 Mil Flat Poly Bags 24x32"" | 500/Case","Bags - Poly","IN_STOCK","100","75-to-200","35.65999984741211","10-to-50-lb","true","841436094320","https://packrift.com/products/24-x-32-1-mil-clear-flat-poly-bags-500-case?variant=53473148109168"
"PB1385","1 Mil Gusseted Poly Bags 12x8x24"" | 500/Case","Bags - Poly","IN_STOCK","100","25-to-75","12.5","10-to-50-lb","true","841436038539","https://packrift.com/products/12x8x24-1-mil-gusseted-poly-bags-expandable-sides-case-of-500?variant=53473285374320"
"PB1379","1 Mil Gusseted Poly Bags 12x8x4"" | Packrift","Bags - Poly","IN_STOCK","100","25-to-75","9.600000381469727","1-to-10-lb","true","841436097277","https://packrift.com/products/12x8x4-1-mil-gusseted-poly-bags-clear-expandable-case-of-1000?variant=53473285013872"
"PB1363","1 Mil Gusseted Poly Bags 15x9x32"" | FDA/USDA","Bags - Poly","IN_STOCK","100","75-to-200","31.479999542236328","10-to-50-lb","true","848109010670","https://packrift.com/products/15x9x32-1-mil-gusseted-poly-bags-expandable-design-case-of-500?variant=53473285505392"
"PB1358","1 Mil Gusseted Poly Bags 5.5x4.75x19"" | Packrift","Bags - Poly","IN_STOCK","100","25-to-75","12.079999923706055","10-to-50-lb","true","841436038409","https://packrift.com/products/5-5x4-75x19-1-mil-gusseted-poly-bags-1000-case-clear?variant=53473284817264"
"PB1351","1 Mil Gusseted Poly Bags 5x3.5x13"" | 1000/Case","Bags - Poly","IN_STOCK","100","25-to-75","7.519999980926514","1-to-10-lb","true","841436038348","https://packrift.com/products/5x3-5x13-1-mil-gusseted-poly-bags-1000-case-expandable-clear-pe?variant=53473284620656"
"PB1356","1 Mil Gusseted Poly Bags 5x4.5x18"" | Case 1000","Bags - Poly","IN_STOCK","100","25-to-75","11.699999809265137","10-to-50-lb","true","841436038386","https://packrift.com/products/5x4-5x18-1-mil-gusseted-poly-bags-expandable-sides-case-of-1000?variant=53473284784496"
"PB1374","1 Mil Gusseted Poly Bags 6x4x15"" | Clear LDPE","Bags - Poly","IN_STOCK","100","25-to-75","10.239999771118164","10-to-50-lb","true","841436038454","https://packrift.com/products/6x4x15-1-mil-gusseted-poly-bags-expandable-storage-case-of-1000?variant=53473284948336"
"PB2391","1 Mil Poly Bags 14x24"" | Clear Flat Bags 1000/Case","Bags - Poly","IN_STOCK","100","25-to-75","22.979999542236328","10-to-50-lb","true","841436038188","https://packrift.com/products/14-x-24-1-mil-clear-flat-poly-bags-1000-case-fda-approved?variant=53473146503536"
