term,label,url,product_count,family_count,product_type_count,sample_skus
boxes,Boxes,https://packrift.github.io/packaging-vocabulary/terms/boxes/,1708,3,4,644 655 654 664 754 844 744 544 955 855 665 863 864 954 M322 1044 964 M522 1055 M422 1064 MD864 774 963
corrugated boxes,Corrugated Boxes,https://packrift.github.io/packaging-vocabulary/terms/corrugated-boxes/,1673,3,3,644 655 654 664 754 844 744 544 955 855 665 863 864 954 M322 1044 964 M522 1055 M422 1064 MD864 774 963
shipping cartons,Shipping Cartons,https://packrift.github.io/packaging-vocabulary/terms/shipping-cartons/,1655,3,3,644 655 654 664 754 844 744 544 955 855 665 863 864 954 M322 1044 964 M522 1055 M422 1064 MD864 774 963
cartons,Cartons,https://packrift.github.io/packaging-vocabulary/terms/cartons/,1136,3,3,644 655 654 664 754 844 744 544 955 855 665 863 864 954 1044 964 1055 1064 MD864 774 963 965 753 866
corrugated cartons,Corrugated Cartons,https://packrift.github.io/packaging-vocabulary/terms/corrugated-cartons/,1136,3,3,644 655 654 664 754 844 744 544 955 855 665 863 864 954 1044 964 1055 1064 MD864 774 963 965 753 866
cardboard,Cardboard,https://packrift.github.io/packaging-vocabulary/terms/cardboard/,1048,1,1,644 655 654 664 754 844 744 544 955 855 665 863 864 954 1044 964 1055 1064 MD864 774 963 965 753 866
cardboard boxes,Cardboard Boxes,https://packrift.github.io/packaging-vocabulary/terms/cardboard-boxes/,1048,1,1,644 655 654 664 754 844 744 544 955 855 665 863 864 954 1044 964 1055 1064 MD864 774 963 965 753 866
cardboard containers,Cardboard Containers,https://packrift.github.io/packaging-vocabulary/terms/cardboard-containers/,904,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
cardboard shipping boxes,Cardboard Shipping Boxes,https://packrift.github.io/packaging-vocabulary/terms/cardboard-shipping-boxes/,904,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
shipping container,Shipping Container,https://packrift.github.io/packaging-vocabulary/terms/shipping-container/,904,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
storage boxes,Storage Boxes,https://packrift.github.io/packaging-vocabulary/terms/storage-boxes/,886,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
packaging boxes,Packaging Boxes,https://packrift.github.io/packaging-vocabulary/terms/packaging-boxes/,876,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
poly bags,Poly Bags,https://packrift.github.io/packaging-vocabulary/terms/poly-bags/,723,2,2,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PMR081015 PB3615BK PB3735
storage bags,Storage Bags,https://packrift.github.io/packaging-vocabulary/terms/storage-bags/,699,2,2,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PMR081015 PB3615BK PB3735
plastic bags,Plastic Bags,https://packrift.github.io/packaging-vocabulary/terms/plastic-bags/,689,2,2,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PMR081015 PB3615BK PB3735
kraft boxes,Kraft Boxes,https://packrift.github.io/packaging-vocabulary/terms/kraft-boxes/,686,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
brown boxes,Brown Boxes,https://packrift.github.io/packaging-vocabulary/terms/brown-boxes/,685,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
kraft cartons,Kraft Cartons,https://packrift.github.io/packaging-vocabulary/terms/kraft-cartons/,685,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
poly bag,Poly Bag,https://packrift.github.io/packaging-vocabulary/terms/poly-bag/,669,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PMR081015 PB3615BK PB3735 PB3642
polyethylene bags,Polyethylene Bags,https://packrift.github.io/packaging-vocabulary/terms/polyethylene-bags/,653,2,2,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PMR081015 PB3615BK PB3735
brown cartons,Brown Cartons,https://packrift.github.io/packaging-vocabulary/terms/brown-cartons/,646,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
moving boxes,Moving Boxes,https://packrift.github.io/packaging-vocabulary/terms/moving-boxes/,629,1,1,644 655 654 664 754 744 544 955 855 665 864 954 964 1064 774 963 965 753 866 766 40604PCMC 944 1074 764
brown corrugated cartons,Brown Corrugated Cartons,https://packrift.github.io/packaging-vocabulary/terms/brown-corrugated-cartons/,618,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
kraft corrugated cartons,Kraft Corrugated Cartons,https://packrift.github.io/packaging-vocabulary/terms/kraft-corrugated-cartons/,618,1,1,644 655 654 664 754 844 744 544 955 855 665 864 954 1044 964 1055 1064 774 963 965 753 866 766 1244
corrugated mailers,Corrugated Mailers,https://packrift.github.io/packaging-vocabulary/terms/corrugated-mailers/,597,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
die-cut mailers,Die-cut Mailers,https://packrift.github.io/packaging-vocabulary/terms/die-cut-mailers/,595,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
folding mailer,Folding Mailer,https://packrift.github.io/packaging-vocabulary/terms/folding-mailer/,594,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
one-piece mailer,One-piece Mailer,https://packrift.github.io/packaging-vocabulary/terms/one-piece-mailer/,594,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
pe bags,Pe Bags,https://packrift.github.io/packaging-vocabulary/terms/pe-bags/,594,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB459 PB3630 PMR081015 PB3735 PB3642 PB220
cardboard mailer,Cardboard Mailer,https://packrift.github.io/packaging-vocabulary/terms/cardboard-mailer/,589,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
foldable mailer,Foldable Mailer,https://packrift.github.io/packaging-vocabulary/terms/foldable-mailer/,589,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
paperboard mailer,Paperboard Mailer,https://packrift.github.io/packaging-vocabulary/terms/paperboard-mailer/,589,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
shipping carton,Shipping Carton,https://packrift.github.io/packaging-vocabulary/terms/shipping-carton/,589,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
fold and tuck mailer,Fold and Tuck Mailer,https://packrift.github.io/packaging-vocabulary/terms/fold-and-tuck-mailer/,582,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
tuck and fold mailer,Tuck and Fold Mailer,https://packrift.github.io/packaging-vocabulary/terms/tuck-and-fold-mailer/,582,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
corrugated mailing boxes,Corrugated Mailing Boxes,https://packrift.github.io/packaging-vocabulary/terms/corrugated-mailing-boxes/,577,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
shipping box,Shipping Box,https://packrift.github.io/packaging-vocabulary/terms/shipping-box/,576,3,2,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
folding carton,Folding Carton,https://packrift.github.io/packaging-vocabulary/terms/folding-carton/,575,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
ldpe bags,Ldpe Bags,https://packrift.github.io/packaging-vocabulary/terms/ldpe-bags/,572,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB459 PB3630 PMR081015 PB3735 PB3642 PB220 PB6725
crush proof mailer,Crush Proof Mailer,https://packrift.github.io/packaging-vocabulary/terms/crush-proof-mailer/,571,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
crush resistant,Crush Resistant,https://packrift.github.io/packaging-vocabulary/terms/crush-resistant/,571,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
crush resistant mailer,Crush Resistant Mailer,https://packrift.github.io/packaging-vocabulary/terms/crush-resistant-mailer/,571,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
cardboard mailing boxes,Cardboard Mailing Boxes,https://packrift.github.io/packaging-vocabulary/terms/cardboard-mailing-boxes/,570,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
crush resistant box,Crush Resistant Box,https://packrift.github.io/packaging-vocabulary/terms/crush-resistant-box/,570,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
indestructo mailer,Indestructo Mailer,https://packrift.github.io/packaging-vocabulary/terms/indestructo-mailer/,561,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
mailing boxes,Mailing Boxes,https://packrift.github.io/packaging-vocabulary/terms/mailing-boxes/,542,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
bolsas de almanesamiento,Bolsas De Almanesamiento,https://packrift.github.io/packaging-vocabulary/terms/bolsas-de-almanesamiento/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas de dulces,Bolsas De Dulces,https://packrift.github.io/packaging-vocabulary/terms/bolsas-de-dulces/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas de plastico,Bolsas De Plastico,https://packrift.github.io/packaging-vocabulary/terms/bolsas-de-plastico/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas de polipropileno,Bolsas De Polipropileno,https://packrift.github.io/packaging-vocabulary/terms/bolsas-de-polipropileno/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas flexibles,Bolsas Flexibles,https://packrift.github.io/packaging-vocabulary/terms/bolsas-flexibles/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas para comida,Bolsas Para Comida,https://packrift.github.io/packaging-vocabulary/terms/bolsas-para-comida/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas para dulces,Bolsas Para Dulces,https://packrift.github.io/packaging-vocabulary/terms/bolsas-para-dulces/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas para merienda,Bolsas Para Merienda,https://packrift.github.io/packaging-vocabulary/terms/bolsas-para-merienda/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas para premios,Bolsas Para Premios,https://packrift.github.io/packaging-vocabulary/terms/bolsas-para-premios/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsillas,Bolsillas,https://packrift.github.io/packaging-vocabulary/terms/bolsillas/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsillas de platico,Bolsillas De Platico,https://packrift.github.io/packaging-vocabulary/terms/bolsillas-de-platico/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsitas,Bolsitas,https://packrift.github.io/packaging-vocabulary/terms/bolsitas/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsitas de platico,Bolsitas De Platico,https://packrift.github.io/packaging-vocabulary/terms/bolsitas-de-platico/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsitas de polipropileno,Bolsitas De Polipropileno,https://packrift.github.io/packaging-vocabulary/terms/bolsitas-de-polipropileno/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
candy bag,Candy Bag,https://packrift.github.io/packaging-vocabulary/terms/candy-bag/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
candy bags,Candy Bags,https://packrift.github.io/packaging-vocabulary/terms/candy-bags/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
goodie bag,Goodie Bag,https://packrift.github.io/packaging-vocabulary/terms/goodie-bag/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
goodie bags,Goodie Bags,https://packrift.github.io/packaging-vocabulary/terms/goodie-bags/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
plastic prize bag,Plastic Prize Bag,https://packrift.github.io/packaging-vocabulary/terms/plastic-prize-bag/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
plastic prize bags,Plastic Prize Bags,https://packrift.github.io/packaging-vocabulary/terms/plastic-prize-bags/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
snack bag,Snack Bag,https://packrift.github.io/packaging-vocabulary/terms/snack-bag/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
snack bags,Snack Bags,https://packrift.github.io/packaging-vocabulary/terms/snack-bags/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
treat bag,Treat Bag,https://packrift.github.io/packaging-vocabulary/terms/treat-bag/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
treat bags,Treat Bags,https://packrift.github.io/packaging-vocabulary/terms/treat-bags/,535,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
bolsas abiertas,Bolsas Abiertas,https://packrift.github.io/packaging-vocabulary/terms/bolsas-abiertas/,534,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB3585BK PB459 PB3630 PB3615BK PB3735 PB3642
corrugated receptacles,Corrugated Receptacles,https://packrift.github.io/packaging-vocabulary/terms/corrugated-receptacles/,514,1,1,644 655 654 664 754 744 544 955 855 665 864 954 964 1064 774 963 965 753 866 766 944 1074 764 966
clear plastic bag,Clear Plastic Bag,https://packrift.github.io/packaging-vocabulary/terms/clear-plastic-bag/,468,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB1632 PB586 PB511 PB580 PB1600 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615
shipping supplies,Shipping Supplies,https://packrift.github.io/packaging-vocabulary/terms/shipping-supplies/,456,6,7,G2501 DL1096 G30061 G11051A G11051E G11051C G10022 G26052W G26059W G30043 G10043 SF153PS SF1880CAST G11053B G10063 SF128 G10073 SFEC158 G20003 MSF20755C SF186 SF188 TNB503 SF208
flexible bags,Flexible Bags,https://packrift.github.io/packaging-vocabulary/terms/flexible-bags/,430,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB5232 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB459 PB3630 PMR081015 PB3735 PB3642 PB220
food storage bag,Food Storage Bag,https://packrift.github.io/packaging-vocabulary/terms/food-storage-bag/,409,2,1,PB3525 PB3540 PB3565 PB3562 PB3946 PB1060 PB2268 PB745 PB440 PB2305 PB3585 PB445 PB406 PB3990 PB3710 PB2350 PB1085 PB459 PB3630 PMR081015 PB3735 PB3642 PB220 PB6725
tape,Tape,https://packrift.github.io/packaging-vocabulary/terms/tape/,408,3,3,T9534466R T9554466R VEL133 T901170 T901600T T901600 T901400 T9236100 T9342200 T9236W T902400 T902220 T905600 T902600T T905700 T902700 T155000 T90222Y T905220 T9067200W T9141300 T9373000 T9141400 T935003R
foldable white mailer,Foldable White Mailer,https://packrift.github.io/packaging-vocabulary/terms/foldable-white-mailer/,400,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
oyster,Oyster,https://packrift.github.io/packaging-vocabulary/terms/oyster/,400,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
oyster white,Oyster White,https://packrift.github.io/packaging-vocabulary/terms/oyster-white/,400,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
white mailing boxes,White Mailing Boxes,https://packrift.github.io/packaging-vocabulary/terms/white-mailing-boxes/,394,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
foldable white box,Foldable White Box,https://packrift.github.io/packaging-vocabulary/terms/foldable-white-box/,393,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
mailers,Mailers,https://packrift.github.io/packaging-vocabulary/terms/mailers/,389,3,3,B853SS25PK P2024KRP6 EPM11134 B83325PK M3312 B807SS25PK M3318 EPM13164 M3325 B854SS B832 EPM15204 M3330 CPM1215BK S2515K B855SS B833 B839 B879100PK B856SS P3018K M3337 B857SS B860SS
clear bag,Clear Bag,https://packrift.github.io/packaging-vocabulary/terms/clear-bag/,355,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635 PB1265
clear poly bag,Clear Poly Bag,https://packrift.github.io/packaging-vocabulary/terms/clear-poly-bag/,355,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635 PB1265
open top poly bag,Open Top Poly Bag,https://packrift.github.io/packaging-vocabulary/terms/open-top-poly-bag/,354,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635 PB1265
poly storage bags,Poly Storage Bags,https://packrift.github.io/packaging-vocabulary/terms/poly-storage-bags/,343,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PRR121515 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635
clear storage bags,Clear Storage Bags,https://packrift.github.io/packaging-vocabulary/terms/clear-storage-bags/,335,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PRR121515 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635
white mailers,White Mailers,https://packrift.github.io/packaging-vocabulary/terms/white-mailers/,334,3,2,M322 M522 M422 M332 M622 M331 M432 M532 M433 EPM11134 B83325PK M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443
flat poly bags,Flat Poly Bags,https://packrift.github.io/packaging-vocabulary/terms/flat-poly-bags/,333,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635 PB1265
clear polyethylene bags,Clear Polyethylene Bags,https://packrift.github.io/packaging-vocabulary/terms/clear-polyethylene-bags/,327,2,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635 PB1265
shipping mailers,Shipping Mailers,https://packrift.github.io/packaging-vocabulary/terms/shipping-mailers/,327,2,1,M322 M522 M422 M332 M622 M331 M432 M532 M433 M333 M533 M722 M733 M1022 M642 M732 MRX4X M1032 M832 M742 M542 M443 MLRCD M842
open end bags,Open End Bags,https://packrift.github.io/packaging-vocabulary/terms/open-end-bags/,325,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635 PB1265
open end poly bags,Open End Poly Bags,https://packrift.github.io/packaging-vocabulary/terms/open-end-poly-bags/,325,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635 PB1265
clear flat bags,Clear Flat Bags,https://packrift.github.io/packaging-vocabulary/terms/clear-flat-bags/,323,1,1,PB1060 PB2268 PB745 PB440 PB2305 PB445 PB406 PB2350 PB1085 PB459 PMR081015 PB220 PB586 PB511 PB580 PB528 PB945 PB625 PB280 PB605 PB535 PMR121615 PB635 PB1265
